Id,SalePrice
1461,156000
1462,190000
1463,173000
1464,210000
1465,162000
1466,178000
1467,148000
1468,177000
1469,260000
1470,176000
1471,176000
1472,118000
1473,177500
1474,154000
1475,146000
1476,320000
1477,239000
1478,325000
1479,320000
1480,239000
1481,325000
1482,215000
1483,181000
1484,136500
1485,176000
1486,195000
1487,239000
1488,232000
1489,239000
1490,239000
1491,174000
1492,109500
1493,235000
1494,176000
1495,260000
1496,148000
1497,146000
1498,151000
1499,176000
1500,146000
1501,176000
1502,146000
1503,320000
1504,176000
1505,176000
1506,230000
1507,260000
1508,176000
1509,154000
1510,149900
1511,157000
1512,149900
1513,225000
1514,136500
1515,210000
1516,165000
1517,149000
1518,136500
1519,185000
1520,154000
1521,149900
1522,149900
1523,126000
1524,100000
1525,110000
1526,146000
1527,100000
1528,154000
1529,152000
1530,155000
1531,137500
1532,109500
1533,185000
1534,100000
1535,155000
1536,127000
1537,60000
1538,132000
1539,178000
1540,115000
1541,112000
1542,127000
1543,140000
1544,109500
1545,110000
1546,155000
1547,155000
1548,140000
1549,117000
1550,155000
1551,109500
1552,140000
1553,112000
1554,127000
1555,149900
1556,115000
1557,112000
1558,110000
1559,130000
1560,128000
1561,136500
1562,139000
1563,109500
1564,148000
1565,155000
1566,260000
1567,110000
1568,260000
1569,190000
1570,147000
1571,115000
1572,154000
1573,157000
1574,136500
1575,141000
1576,168000
1577,176000
1578,128000
1579,147000
1580,215000
1581,154000
1582,109500
1583,320000
1584,191000
1585,145000
1586,112000
1587,112000
1588,152000
1589,112000
1590,148000
1591,100000
1592,140000
1593,155000
1594,160000
1595,113000
1596,155000
1597,145000
1598,215000
1599,176000
1600,189000
1601,112000
1602,155000
1603,140000
1604,155000
1605,205000
1606,148000
1607,136500
1608,176000
1609,174000
1610,167500
1611,230000
1612,174000
1613,174000
1614,125000
1615,118000
1616,100000
1617,100000
1618,136500
1619,154000
1620,160000
1621,146000
1622,152000
1623,176000
1624,187500
1625,110000
1626,230000
1627,215000
1628,239000
1629,168500
1630,215000
1631,260000
1632,215000
1633,173000
1634,146000
1635,130500
1636,174000
1637,239000
1638,185000
1639,215000
1640,215000
1641,175500
1642,176000
1643,176000
1644,176000
1645,250000
1646,175500
1647,230000
1648,149900
1649,149900
1650,145000
1651,148000
1652,118000
1653,177500
1654,215000
1655,154000
1656,146000
1657,175500
1658,176000
1659,154000
1660,250000
1661,325000
1662,239000
1663,320000
1664,320000
1665,325000
1666,320000
1667,240000
1668,200000
1669,315000
1670,315000
1671,260000
1672,315000
1673,239000
1674,232000
1675,173000
1676,136500
1677,175500
1678,320000
1679,315000
1680,320000
1681,174000
1682,260000
1683,174000
1684,181000
1685,174000
1686,172500
1687,174000
1688,174000
1689,178000
1690,184000
1691,184000
1692,219500
1693,173000
1694,146000
1695,174000
1696,214000
1697,174000
1698,325000
1699,190000
1700,157000
1701,260000
1702,239000
1703,174000
1704,315000
1705,215000
1706,190000
1707,239000
1708,176000
1709,325000
1710,176000
1711,165000
1712,239000
1713,239000
1714,176000
1715,146000
1716,162000
1717,181000
1718,118000
1719,167500
1720,207500
1721,162000
1722,118000
1723,162000
1724,174000
1725,215000
1726,155000
1727,174000
1728,162000
1729,130500
1730,144000
1731,154000
1732,132500
1733,109500
1734,142000
1735,127000
1736,154000
1737,143000
1738,175500
1739,200000
1740,239000
1741,176000
1742,146000
1743,146000
1744,120000
1745,225000
1746,230000
1747,154000
1748,250000
1749,190000
1750,142000
1751,240000
1752,132500
1753,174000
1754,239000
1755,149900
1756,143000
1757,112500
1758,176000
1759,210000
1760,162000
1761,149900
1762,225000
1763,157000
1764,123000
1765,147000
1766,179900
1767,250000
1768,149900
1769,157000
1770,127000
1771,124000
1772,152000
1773,147000
1774,118000
1775,132500
1776,112000
1777,80000
1778,109500
1779,144000
1780,157000
1781,149900
1782,118000
1783,178000
1784,125500
1785,136000
1786,200000
1787,112000
1788,110000
1789,109500
1790,110000
1791,200000
1792,149900
1793,155000
1794,149000
1795,110000
1796,136500
1797,112000
1798,100000
1799,110000
1800,127000
1801,155000
1802,115000
1803,177000
1804,148000
1805,149900
1806,115000
1807,137000
1808,112000
1809,100000
1810,155000
1811,100000
1812,127000
1813,118000
1814,112000
1815,82000
1816,100000
1817,125500
1818,155000
1819,155000
1820,115000
1821,85000
1822,127000
1823,85000
1824,136500
1825,127000
1826,155000
1827,119000
1828,120000
1829,109500
1830,124000
1831,140000
1832,160000
1833,155000
1834,125500
1835,160000
1836,112000
1837,160000
1838,124000
1839,86000
1840,179000
1841,144000
1842,79000
1843,149900
1844,148000
1845,115000
1846,149900
1847,157000
1848,82000
1849,112000
1850,110000
1851,113000
1852,140000
1853,154000
1854,154000
1855,190000
1856,189000
1857,160000
1858,112000
1859,126000
1860,171000
1861,126000
1862,200000
1863,230000
1864,230000
1865,320000
1866,315000
1867,136500
1868,260000
1869,260000
1870,260000
1871,205000
1872,174000
1873,260000
1874,185000
1875,173000
1876,215000
1877,176000
1878,240000
1879,149900
1880,154000
1881,136500
1882,215000
1883,178000
1884,178000
1885,260000
1886,260000
1887,179900
1888,240000
1889,174000
1890,128000
1891,112000
1892,112500
1893,144000
1894,136500
1895,155000
1896,127000
1897,140000
1898,113000
1899,100000
1900,155000
1901,140000
1902,149900
1903,144000
1904,170000
1905,170000
1906,115000
1907,235000
1908,176000
1909,155000
1910,174000
1911,190000
1912,210000
1913,235000
1914,79000
1915,145000
1916,160000
1917,176000
1918,123000
1919,144000
1920,147000
1921,320000
1922,315000
1923,190000
1924,190000
1925,225000
1926,385000
1927,149900
1928,149900
1929,127000
1930,144000
1931,155000
1932,173000
1933,147000
1934,177500
1935,173000
1936,184000
1937,215000
1938,181000
1939,148000
1940,192000
1941,225000
1942,130500
1943,176000
1944,239000
1945,315000
1946,190000
1947,190000
1948,112000
1949,155000
1950,154000
1951,240000
1952,176000
1953,143000
1954,178000
1955,126000
1956,127500
1957,174000
1958,176000
1959,177000
1960,136500
1961,112500
1962,118000
1963,118000
1964,177500
1965,176000
1966,146000
1967,239000
1968,190000
1969,320000
1970,239000
1971,239000
1972,325000
1973,215000
1974,239000
1975,160000
1976,239000
1977,315000
1978,239000
1979,239000
1980,191000
1981,239000
1982,175500
1983,176000
1984,174000
1985,192000
1986,176000
1987,174000
1988,177000
1989,174000
1990,219500
1991,157000
1992,230000
1993,173000
1994,173000
1995,178000
1996,176000
1997,239000
1998,205000
1999,260000
2000,250000
2001,250000
2002,157000
2003,174000
2004,225000
2005,175500
2006,239000
2007,174000
2008,157000
2009,176000
2010,215000
2011,128000
2012,179900
2013,177000
2014,215000
2015,190000
2016,146000
2017,176000
2018,185000
2019,142000
2020,112000
2021,100000
2022,225000
2023,176000
2024,240000
2025,325000
2026,176000
2027,146000
2028,146000
2029,146000
2030,157000
2031,145000
2032,148000
2033,176000
2034,146000
2035,176000
2036,172500
2037,172500
2038,155000
2039,235000
2040,235000
2041,160000
2042,199900
2043,179900
2044,171000
2045,190000
2046,112000
2047,126000
2048,112500
2049,136500
2050,187500
2051,144000
2052,149900
2053,149900
2054,127000
2055,179900
